Rok,Pois?ov?a,Po?etpoistencov,ZdrojevÄ,Poh?ad·vkyvÄ,Z·v‰zkycelkomvÄ,V˝sledokhospod·reniavÄ,Rok SUSR,Poistenci spolu,Zamestnanci,Samostatne z·robkovo ?innÈ osoby,Spolupracuj˙ce osoby,Nerezidenti,OstatnÌ platitelia poistnÈho,EvidovanÌ nezamestnanÌ poberaj˙ci podporu v nezamestnanosti,Poistenci za ktor˝ch poistnÈ hradÌ öt·t - spolu,Pzkphö - nezaopatrenÈ deti,Pzkphö - osoby poberaj˙ce dÙchodok,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v SR,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v ?R,Pzkphö - osoby zaradenÈ v evidencii uch·dza?ov o zamestnanie,Pzkphö - evidovanÌ nezamestnanÌ nepoberaj˙ci podporu v nezamestnanosti,Pzkphö - osoby staraj˙ce sa o die?ùa do 6r. (osobne celodenne),Pzkphö - osoby staraj˙ce sa o dieù?a do 5r. A invalidnÈ (osobne celodenne),Pzkphö - osoby staraj˙ce sa odie?ùa do 3r. a invalidnÈ (osobne celodenne),Pzkphö - osoby staraj˙ce sa o blÌzku invalidn˙ osobu (celodenne),Pzkphö - osoby bez dÙchodku z dÙvodu opatrovate?skej sluûby,Pzkphö - osoby poberaj˙ce pe?aûn˝ prÌspevok za opatrovanie,Pzkphö - osoby opatruj˙ce ob?ana so çZP,Pzkphö - osoby vykon·vaj˙ce osobn˙ asistenciu ob?anovi sço ZP,Pzkphö - osoby poberaj˙ce d·vku v hmotnej n˙dzi,Pzkphö - vojaci vykon·vaj˙ci sluûbu a osoby vykon·vaj˙ce civiln˙ sluûbu,Pzkphö - osoby vo v˝kone v‰zby alebo v˝kone trestu od?atia slobody,"Pzkphö - vekovo dÙchodcovia, bez n·roku na prÌjem dÙchodku","Pzkphö - invalidnÈ osoby, bez n·roku na invalidn˝ dÙchodok",Pzkphö - cudzinci a azylanti,Pzkphö - osoby v cirkevn˝ch a charitatÌvnych spolo?enstv·ch,Pzkphö - ostatnÌ,Poistenci bez platnej poistky,"Poistenci nad 60rokov, ktor˝m poistnÈ hradÌ öt·t",Rok Q,Poistenci spolu priemern˝ stav v ötvr?roku,Poistenci spolu stav ku koncu ötvr?roka,Zamestnanci priemern˝ stav v ötvr?roku,Zamestnanci stav ku koncu ötvr?roka,SZ?O priemern˝ stav v ötvr?roku,SZ?O stav ku koncu ötvr?roka,Spolupracuj˙ce osoby priemern˝ stav v ötvr?roku,Spolupracuj˙ce osoby stav ku koncu ötvr?roka,Nerezidenti,priemern˝ stav v ötvr?roku,stav ku koncu ötvr?roka,OstatnÌ platitelia poistnÈho,priemern˝ stav v ötvr?roku,stav ku koncu ötvr?roka,EvidovanÌ nezamestnanÌ poberaj˙ci podporu v nezamestnanosti priemern˝ stav v ötvr?roku,EvidovanÌ nezamestnanÌ poberaj˙ci podporu v nezamestnanosti stav ku koncu ötvr?roka,Poistenci za ktor˝ch poistnÈ hradÌ öt·t - spolu priemern˝ stav v ötvr?roku,Poistenci za ktor˝ch poistnÈ hradÌ öt·t - spolu stav ku koncu ötvr?roka,Pzkphö - nezaopatrenÈ deti priemern˝ stav v ötvr?roku,Pzkphö - nezaopatrenÈ deti stav ku koncu ötvr?roka,Pzkphö - osoby poberaj˙ce dÙchodok priemern˝ stav v ötvr?roku,Pzkphö - osoby poberaj˙ce dÙchodok stav ku koncu ötvr?roka,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v SR priemern˝ stav v ötvr?roku,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v SR stav ku koncu ötvr?roka,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v ?R priemern˝ stav v ötvr?roku,Pzkphö - osoby poberaj˙ce dÙchodok zo SP v ?R stav ku koncu ötvr?roka,Pzkphö - osoby zaradenÈ v evidencii uch·dza?ov o zamestnanie priemern˝ stav v ötvr?roku,Pzkphö - osoby zaradenÈ v evidencii uch·dza?ov o zamestnanie stav ku koncu ötvr?roka,Pzkphö - evidovanÌ nezamestnanÌ nepoberaj˙ci podporu v nezamestnanosti priemern˝ stav v ötvr?roku,Pzkphö - evidovanÌ nezamestnanÌ nepoberaj˙ci podporu v nezamestnanosti stav ku koncu ötvr?roka,Pzkphö - osoby staraj˙ce sa o die?a do 6 r. (osobne celodenne) priemern˝ stav v ötvr?roku,Pzkphö - osoby staraj˙ce sa o die?a do 6 r. (osobne celodenne) stav ku koncu ötvr?roka,Pzkphö - osoby staraj˙ce sa o die?a do 5 r. a invalidnÈ (osobne celodenne) priemern˝ stav v ötvr?roku,Pzkphö - osoby staraj˙ce sa o die?a do 5 r. a invalidnÈ (osobne celodenne) stav ku koncu ötvr?roka,Pzkphö - osoby staraj˙ce sa o die?a do 3 r. a invalidnÈ (osobne celodenne) priemern˝ stav v ötvr?roku,Pzkphö - osoby staraj˙ce sa o die?a do 3 r. a invalidnÈ (osobne celodenne) stav ku koncu ötvr?roka,Pzkphö - osoby staraj˙ce sa o blÌzku invalidn˙ osobu (celodenne) priemern˝ stav v ötvr?roku,Pzkphö - osoby staraj˙ce sa o blÌzku invalidn˙ osobu (celodenne) stav ku koncu ötvr?roka,Pzkphö - osoby bez dÙchodku z dÙvodu opatrovate?skej sluûby priemern˝ stav v ötvr?roku,Pzkphö - osoby bez dÙchodku z dÙvodu opatrovate?skej sluûby stav ku koncu ötvr?roka,Pzkphö - osoby poberaj˙ce pe?aûn˝ prÌspevok za opatrovanie priemern˝ stav v ötvr?roku,Pzkphö - osoby poberaj˙ce pe?aûn˝ prÌspevok za opatrovanie stav ku koncu ötvr?roka,Pzkphö - osoby opatruj˙ce ob?ana s ?ZP priemern˝ stav v ötvr?roku,Pzkphö - osoby opatruj˙ce ob?ana s ?ZP stav ku koncu ötvr?roka,Pzkphö - priemern˝ stav v ötvr?roku,Pzkphö - priemern˝ stav v ötvr?roku stav ku koncu ötvr?roka,Pzkphö - osoby poberaj˙ce d·vku v hmotnej n˙dzi priemern˝ stav v ötvr?roku,Pzkphö - osoby poberaj˙ce d·vku v hmotnej n˙dzi stav ku koncu ötvr?roka,Pzkphö - vojaci vykon·vaj˙ci sluûbu a osoby vykon·vaj˙ce civiln˙ sluûbu priemern˝ stav v ötvr?roku,Pzkphö - vojaci vykon·vaj˙ci sluûbu a osoby vykon·vaj˙ce civiln˙ sluûbu stav ku koncu ötvr?roka,Pzkphö - priemern˝ stav v ötvr?roku,Pzkphö - osoby vo v˝kone v‰zby alebo v˝kone trestu od?atia slobody stav ku koncu ötvr?roka,"Pzkphö - vekovo dÙchodcovia, bez n·roku na prÌjem dÙchodku priemern˝ stav v ötvr?roku","Pzkphö - vekovo dÙchodcovia, bez n·roku na prÌjem dÙchodku stav ku koncu ötvr?roka","Pzkphö - invalidnÈ osoby, bez n·roku na invalidn˝ dÙchodok priemern˝ stav v ötvr?roku","Pzkphö - invalidnÈ osoby, bez n·roku na invalidn˝ dÙchodok stav ku koncu ötvr?roka",Pzkphö - cudzinci a azylanti priemern˝ stav v ötvr?roku,Pzkphö - cudzinci a azylanti stav ku koncu ötvr?roka,Pzkphö - osoby v cirkevn˝ch a charitatÌvnych spolo?enstv·ch priemern˝ stav v ötvr?roku,Pzkphö - osoby v cirkevn˝ch a charitatÌvnych spolo?enstv·ch stav ku koncu ötvr?roka,Pzkphö - ostatnÌ priemern˝ stav v ötvr?roku,Pzkphö - ostatnÌ stav ku koncu ötvr?roka,Poistenci bez platnej poistky priemern˝ stav v ötvr?roku,Poistenci bez platnej poistky stav ku koncu ötvr?roka,"Poistenci nad 60 rokov, ktor˝m poistnÈ hradÌ öt·t priemern˝ stav v ötvr?roku","Poistenci nad 60 rokov, ktor˝m poistnÈ hradÌ öt·t stav ku koncu ötvr?roka"
2006,DÙvera,350000,91431554,25781086,34004083,16917022,1995,5366864,1985356,109673,245,170,7200,87255,3176965,1696404,.,997608,70,.,259128,.,.,176440,9547,29,.,.,.,1418,31684,4480,77,.,13,73,.,.,756561,1995Q3,5366842,5371599,1963639,1972827,109133,109715,132,144,,124,152,,3069,4441,78466,82184,3212279,3202136,1686005,1687897,.,.,1029234,1021626,27,54,.,.,271656,268294,.,.,.,.,180322,179578,8593,8452,57,37,.,.,.,.,.,.,409,647,31100,30708,4823,4726,.,44,.,,6,8,47,66,.,.,.,.,758057,767790
2007,DÙvera,763423,174763294,58267410,51708723,15499734,1996,5382425,1921405,109822,1941,7011,36180,92687,3213379,1757918,978466,.,.,.,227990,.,.,175665,10790,.,.,.,.,24022,31226,3154,1389,.,34,132,2593,.,744421,1995Q4,5364791,5366864,1980641,1985356,109820,109673,212,245,,165,170,,5950,7200,83391,87255,3184611,3176965,1696504,1696404,.,.,1008622,997608,65,70,.,.,262490,259128,.,.,.,.,177533,176440,9553,9547,32,29,.,.,.,.,.,.,1082,1418,31618,31684,4566,4480,59,77,,.,11,13,66,73,.,.,.,.,756679,756561
2008,DÙvera,858999,113410808,67427704,7786795,16236473,1997,5637723,1931381,246599,.,805,37202,104701,3278130,1802509,992434,.,.,.,205314,.,.,165937,15234,.,.,.,.,53405,28715,3661,1127,.,42,151,9601,.,843114,1996Q1,5364893,5369297,1852885,1815201,213038,216137,473,548,,1611,1672,,13651,16520,89933,85171,3193302,3234012,1714680,1746356,990281,997000,.,.,.,.,.,.,263649,263274,.,.,.,.,177006,179199,9476,9686,.,.,.,.,.,.,.,.,2813,3585,30739,30230,4301,4232,176,213,.,.,17,14,117,124,47,99,.,.,747125,753326
2009,DÙvera,1358657,768542105,166886407,143833349,469045541,1998,5612731,1875694,220816,.,531,223519,127801,3131063,1570672,1033145,.,.,.,197073,.,207040,.,43836,.,.,.,.,23409,38835,8491,2273,.,540,3426,1323,33307,831775,1996Q2,5359744,5366644,1948795,1953206,105151,105295,731,827,,3147,3173,,19535,22611,69774,69291,3212611,3212241,1748011,1755078,982294,978177,.,.,.,.,.,.,253087,250350,.,,.,,177526,177136,9721,9781,86,104,.,.,.,.,.,.,4737,5381,31374,31249,3992,3878,200,236,.,.,15,18,52,69,516,785,.,.,759053,757817
2010,DÙvera,1400000,706982379,145215702,510790995,16237874,1999,5562640,1768483,231208,.,417,210941,146936,3194902,1575928,1078159,.,.,.,208185,.,217593,.,45421,.,.,.,.,17468,35953,9304,143,.,589,3767,2392,9753,-,1996Q3,5395826,5377246,1984952,1961503,105837,106972,1039,1131,,3252,3286,,28993,32198,80637,86542,3191116,3185614,1747436,1745701,967268,963234,.,.,.,.,.,.,241015,235818,.,.,.,.,176130,175922,10622,11082,.,.,.,.,.,.,.,.,11785,16548,31130,29883,3627,3621,573,1965,.,.,70,74,44,52,1416,1714,.,.,726069,745642
2011,DÙvera,1440000,719169507,164002853,494832044,39278385,2000,5545591,1819409,240605,.,481,204113,141976,3129681,1532598,1066180,.,.,.,210213,.,212000,.,44269,.,.,.,.,16532,31322,9561,132,.,578,3718,2578,9326,879809,1996Q4,5372365,5382425,1935409,1921405,110160,109822,1854,1941,,6907,7011,,34565,36180,81202,92687,3202268,3213379,1748348,1757918,976515,978466,.,.,.,.,.,.,230178,227990,.,.,.,.,175643,175665,10697,10790,.,.,.,.,.,.,.,.,23521,24022,31192,31226,3214,3154,820,1389,.,.,30,34,129,132,1981,2593,.,.,715201,744421
2012,DÙvera,1447049,713570000,146477000,435526000,47855810,2001,5515117,1797038,255499,.,601,245387,150752,3058676,1508897,1028500,.,.,.,327800,.,131202,.,13633,.,.,.,.,19522,19550,6056,484,.,149,704,2179,7164,879079,1997Q1,5639538,5648411,1995344,1965302,208231,202372,.,.,,1260,1159,,31075,30761,98498,94777,3290400,3339096,1774714,1799063,1025631,1041308,.,.,.,.,.,.,204420,209013,.,.,.,.,173077,175491,16001,16280,.,.,.,.,.,.,.,.,54142,55367,35513,35579,3144,3156,997,1078,.,.,42,46,150,152,2569,2563,14730,14944,812746,807021
2013,DÙvera,1437480,643876000,134771000,,46498193,2002,5465923,1794135,280814,.,777,214297,139148,3030362,.,.,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6390,825207,1997Q2,5742202,5675328,2018440,1987204,207621,203199,.,.,,1317,1352,,41475,49647,96681,94477,3355202,3315627,1815189,1798394,1037213,1028209,.,.,.,.,.,.,205521,202547,.,.,.,.,176995,175916,16313,16326,.,.,.,.,.,.,.,.,57288,57188,30982,29292,3191,3151,1159,1189,.,.,41,42,157,160,11153,3213,21466,23822,853046,843573
2014,DÙvera,1440908,590542918,160531451,279200503,2261902,2003,5436139,1782781,311478,.,24,251532,67205,3014868,1450011,1025113,.,.,.,356297,.,129765,.,18868,105,.,.,.,28342,9982,7009,319,.,117,968,951,8251,823390,1997Q3,5657980,5622464,1982312,1963004,205328,202859,.,.,,884,844,,42134,44387,99366,98212,3302479,3282159,1793436,1776096,1017338,1010396,.,.,.,.,.,.,204540,206443,.,.,.,.,174737,173515,16057,16080,.,.,.,.,.,.,.,.,54458,54396,31006,30208,3355,3413,1308,1324,.,.,44,45,164,163,6036,10080,25477,30999,831641,830160
2015,DÙvera,1440584,571215070,149419645,239108911,3510136,2004,5396613,1778595,328917,.,3,253905,.,3026162,1433840,1021794,.,.,.,383536,.,131939,.,21069,109,.,.,.,18347,5130,6772,480,.,109,1006,2031,9031,824079,1997Q4,5636803,5637723,1946854,1931381,240483,246599,.,.,,848,805,,37004,37202,103465,104701,3274767,3278130,1797303,1802509,993264,992434,.,.,.,.,.,.,205404,205314,.,.,.,.,165859,165937,15179,15234,.,.,.,.,.,.,.,.,53349,53405,29783,28715,3578,3661,1151,1127,.,.,43,42,154,151,9700,9601,33382,.,843174,843114
2016,DÙvera,1414764,,,,,2005,5331121,1804017,366390,.,1,126215,.,3029438,1406555,1049793,.,.,354397,.,.,24545,.,.,.,117950,26625,5379,20838,,3213,7919,455,173,2504,10570,5060,830953,1998Q1,5611159,5608079,1960809,1954039,223608,222351,.,.,,654,647,,56796,55827,114515,119404,3220311,3226210,1660619,1673843,1104905,1105641,.,.,.,.,.,.,170533,170363,.,.,.,.,182026,182074,17492,11296,.,.,.,.,.,.,.,.,28301,27941,29186,28937,4569,4664,963,934,.,.,224,225,2450,2478,19043,17814,34466,29601,831003,829041
2006,Union,,51903837,470657,789617,-21367125,2006,5310980,1788592,384023,.,0,141595,.,2991797,1369484,981383,.,.,334960,.,117062,.,.,.,.,3813,5565,68,21661,336,9285,3545,177,181,1006,143271,4973,863512,1998Q2,5619573,5606794,1911196,1903958,216178,217549,.,.,,683,674,,42049,39990,120764,121063,3291820,3284358,1684712,1679122,1099022,1100195,.,.,.,.,.,.,192945,192036,.,.,.,.,199918,198968,38378,38514,.,.,.,.,.,.,.,.,27111,26561,33316,32478,5708,5732,970,950,.,.,327,325,2974,2984,6439,6493,36883,39202,823945,823873
2007,Union,452855,104646584,30401414,19079765,-7711445,2007,5296631,1771981,386967,.,249,135604,.,2974311,1341861,1031629,.,.,280620,.,87336,.,.,.,.,7051,5222,285,45836,74,8315,3544,917,238,1029,160354,27519,872081,1998Q3,5614198,5604898,1886522,1888128,216735,217943,.,.,,554,532,,105168,104593,122479,123097,3243178,3234208,1667294,1658147,1067017,1066665,.,.,.,.,.,.,175645,176118,.,.,.,.,211600,211861,41216,41834,.,.,.,.,.,.,.,.,25576,25704,37548,36643,8075,8218,2950,2795,.,,527,540,3323,3398,2407,2285,39562,36397,831570,830901
2008,Union,337119,69647912,20552546,11559782,-10837117,2008,5285215,1775026,398766,.,322,121713,.,2957147,1308452,1039862,.,.,287832,.,77774,.,.,.,.,7716,5388,259,34088,17,7929,3579,2097,254,1049,180851,32241,884599,1998Q4,5614413,5612731,1884604,1875694,220596,220816,.,.,,530,531,,188897,223519,123705,127801,3160882,3131063,1585488,1570672,1043645,1033145,.,.,.,.,.,.,197965,197073,.,.,208924,207040,.,.,44154,43836,.,.,.,.,.,.,.,.,23959,23409,39530,38835,8535,8491,2338,2273,.,.,543,540,3447,3426,2354,1323,35199,33307,831012,831775
2009,Union,370869,61383381,24195019,15137461,-16513130,2009,5271277,1625633,397421,.,404,106581,.,3107877,1329694,1070636,.,.,415142,.,78254,.,.,.,.,8854,6553,340,40300,.,9102,3928,3443,932,1069,139630,33361,904538,1999Q1,5606580,5603542,1836937,1814097,223524,224425,.,.,,493,490,,121836,140682,147419,151892,3247145,3246594,1620551,1617939,1075436,1079550,.,.,.,.,.,.,210578,210922,.,.,218716,219319,.,.,46885,47402,.,.,.,.,.,.,.,.,22392,21518,36229,33493,9166,9291,658,639,.,.,577,586,3697,3750,2260,2185,29226,25362,856197,853307
2010,Union,366536,64316591,22425867,18684550,-2264534,2010,5260654,1588159,418974,.,0,108327,.,3107103,1309400,1078076,.,.,423866,.,75495,.,.,.,.,11038,4715,323,37715,.,8055,3785,3305,1009,1121,149200,38091,932951,1999Q2,5614444,5657946,1813153,1816328,229294,230768,.,.,,481,495,,133484,136066,150947,147583,3266832,3305802,1617710,1645167,1086826,1095888,.,.,.,.,.,.,218590,220891,.,.,222375,221907,.,.,48477,49060,.,.,.,.,.,.,.,.,19847,19480,36450,36697,9451,9557,623,614,.,.,594,604,3830,3882,2059,2055,20253,20904,850934,852532
2011,Union,386595,78293451,29282063,20102117,9000385,2011,5237830,1440926,350184,.,0,91822,.,3325296,1323799,1278985,.,.,452024,.,71860,.,.,.,.,14116,4027,388,40119,.,11656,2251,2272,1168,1447,121184,29602,1036224,1999Q3,5577015,5576768,1783171,1762383,225858,222788,.,.,,447,444,,215114,249232,142903,140477,3198564,3190210,1590944,1589065,1073462,1071057,.,.,.,.,.,.,202675,201497,.,.,216357,214481,.,.,44998,44971,.,.,.,.,.,.,.,.,18018,17673,36183,35558,9136,9135,533,526,.,.,580,581,3707,3717,1971,1949,10958,11234,814867,815510
2012,Union,409466,103317260,31138384,27385542,15984281,2012,5220972,1402806,328472,.,0,83275,.,3375005,1305391,1270345,.,.,464444,.,80213,.,.,.,.,25685,654,1893,89189,.,11612,2229,2336,1367,1469,118178,31414,1046837,1999Q4,5566533,5562640,1782328,1768483,231110,231208,.,.,,421,417,,209408,210941,142353,146936,3192111,3194902,1576810,1575928,1076165,1078159,.,.,.,.,.,.,207398,208185,.,.,217561,217593,.,.,45338,45421,.,.,.,.,.,.,.,.,17788,17468,34894,35953,9295,9304,144,143,.,.,587,589,3753,3767,2378,2392,8802,9753,-,-
2013,Union,440245,94355911,38982784,27363444,6605329,2013,5197524,1652143,325938,.,0,76706,.,3107722,1179771,1152599,.,.,382048,.,55312,.,.,.,.,30342,253,1692,180844,.,8050,2126,1571,1328,1150,110636,35015,1003388,2000Q1,5549432,5548157,1736887,1727294,230212,230958,.,.,,415,413,,218770,217728,155099,160113,3354278,3203823,1570559,1574120,1081589,1083126,.,.,.,.,.,.,368919,213224,.,.,217911,217746,.,.,45444,45443,.,.,.,.,.,.,.,.,17929,17722,35316,35908,9467,9450,143,140,.,.,589,590,3775,3778,2637,2576,8870,7828,835163,872638
2014,Union,432125,77262194,45799879,25086421,-8926459,2014,5182121,1685098,322398,.,0,73938,.,3065626,1184316,1170939,.,.,357874,.,56214,.,.,.,.,39444,253,1044,172573,.,8515,3259,1636,1522,1185,66852,35061,1025813,2000Q2,5549302,5549493,1740526,1744945,229996,232243,.,.,,417,420,,212288,213042,160453,158049,3357972,3192791,1568450,1566973,1082482,1080680,.,.,.,.,.,.,374681,213371,.,.,217607,217079,.,.,45371,45249,.,.,.,.,.,.,.,.,19049,19092,34036,34118,9605,9575,137,138,.,.,589,588,3779,3771,2186,2157,8103,8003,874271,875277
2015,Union,452640,103477049,47959882,37382552,-1776436,2015,5162040,1712439,323895,.,0,71922,.,3020066,1218183,1184147,.,.,338094,.,59577,.,.,.,.,31455,1974,1179,84489,.,7720,3709,1724,1685,1219,84911,33718,1043908,2000Q3,5549598,5550040,1769978,1792359,235291,235523,.,.,,423,428,,206066,205040,150776,147297,3329194,3160944,1559832,1546972,1081653,1074535,.,.,.,.,.,.,361396,212826,.,.,215480,214904,.,.,45122,44906,.,.,.,.,.,.,.,.,17107,18057,32073,32053,9569,9561,135,135,.,.,588,585,3776,3761,2463,2649,8646,8449,876485,877151
2016,Union,469349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000Q4,5547227,5545591,1822441,1819409,238387,240605,.,.,,481,481,,202581,204113,143942,141976,3274198,3129681,1532694,1532598,1066403,1066180,.,.,.,.,.,.,353990,210213,.,.,212989,212000,.,.,44370,44269,.,.,.,.,.,.,.,.,16601,16532,30534,31322,9651,9561,132,132,.,.,578,578,3724,3718,2532,2578,9139,9326,879411,879809
2006,VöZP,3403048,468553575,323586603,293723329,6695844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001Q1,5536925,5533543,1769660,1760161,241325,241785,.,.,,484,486,,250700,261767,153496,158929,3264017,3099778,1518328,1515376,1058055,1054637,.,.,.,.,.,.,375507,220037,.,.,206892,205020,.,.,43790,43610,.,.,.,.,.,.,.,.,17208,16936,27478,27538,9640,9628,465,463,.,.,573,578,3684,3669,2397,2286,10739,10637,879215,879298
2007,VöZP,2963301,427332105,296041824,297716624,-14270796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001Q2,5527371,5525329,1780889,1795271,243787,245248,.,.,,540,554,,252337,249556,155408,152490,3241052,3073854,1507570,1503116,1051588,1048449,.,.,.,.,.,.,373311,215768,.,.,203688,202478,.,.,43599,43454,.,.,.,.,.,.,.,.,16313,15856,28332,28244,9743,9707,464,465,.,.,568,578,3654,3642,2222,2097,8766,8356,878926,878985
2008,VöZP,2926336,466455288,367933413,338695047,30007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001Q3,5522556,5518357,1802201,1802016,248404,249478,.,.,,582,587,,248532,248890,150422,149674,3215790,3061206,1493596,1492834,1045657,1044650,.,.,.,.,.,.,370903,219183,.,.,201583,200754,.,.,43412,43359,.,.,.,.,.,.,.,.,16427,16387,27544,27376,9677,9713,474,480,.,.,564,563,3628,3628,2325,2279,7047,6506,878329,879317
2009,VöZP,2890000,626832498,438174406,311721549,-27770562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001Q4,5516742,5515117,1801993,1797038,229871,255499,.,.,,597,601,,272305,245387,150292,150752,3204927,3058676,1509105,1508897,1030839,1028500,.,.,.,.,.,.,471782,327800,.,.,131063,131202,.,.,13531,13633,.,.,.,.,.,.,.,.,19219,19522,19910,19550,5981,6056,480,484,.,.,147,149,680,704,2190,2179,7049,7164,878530,879079
2010,VöZP,3495026,480991433,391818504,219078394,-120230292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002Q1,5477643,5476348,1758054,1760940,258863,260479,.,.,,637,637,,231446,205520,167942,171364,3056471,3072840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4230,4568,828629,834161
2011,VöZP,3460140,538245056,382698280,230269036,5714505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002Q2,5471165,5471082,1775935,1787744,264995,267669,.,.,,692,703,,204106,202898,161678,157418,3058961,3049293,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4798,5357,830852,828712
